Category,Main Category,Sub Category,Product Name,Price,Quantity,Rating,Image URL,Available
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Amul Probiotic Buttermilk,?14,1 pack (440 ml),"4.7
(153.4k)","https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/e51c1fa2-9349-4bf8-bfde-05222dc43b92.jpeg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Amul Probiotic Tadka Chaas,?10,1 pack (280 ml),"4.9
(111.6k)","https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/37f2596c-d221-4844-8efc-35dc9c9a7283.jpeg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Mother Dairy Probiotic Tadka Chach,?9,1 pack (270 ml),"4.7
(93.1k)","https://cdn.zeptonow.com/production/tr:w-403,ar-1000-1000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/cdad2b37-d056-4cef-92ff-51eab0e814d6.jpg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Mother Dairy Mango Lassi,?19,1 pc (180 ml),"4.8
(24.6k)","https://cdn.zeptonow.com/production/tr:w-403,ar-1000-1000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/d0617c61-896a-4516-b245-5e1e4d512581.jpg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Amul Prolife Probiotic Buttermilk Bottle,?29,1 pc (500 ml),"4.8
(1.9k)","https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/0e08f115-aa91-42fc-a722-a112c3a250ef.jpg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Amul Prolife Probiotic Buttermilk Bottle,?54,1 pc (1 L),"4.9
(2.6k)","https://cdn.zeptonow.com/production/tr:w-403,ar-3000-3000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/e7ca6fce-925a-413f-85af-d31ebc954238.jpeg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Mother Dairy Sweet Lassi,?19,1 pc (180 ml),"4.8
(10.2k)","https://cdn.zeptonow.com/production/tr:w-403,ar-1000-1000,pr-true,f-auto,q-40,dpr-2/cms/product_variant/b5c1b671-08ca-4d38-9508-84d21f7708d6.jpg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Mother Dairy Probiotic Tadka Chach Combo,"?27
?30",3X270ml,"4.6
(322)","https://cdn.zeptonow.com/production/tr:w-403,ar-1200-1200,pr-true,f-auto,q-40,dpr-2/cms/product_variant/24224f8f-3730-40bd-9c5c-d988da37c6ea.jpg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Mother Dairy Probiotic Tadka Chach Combo,"?36
?40",4X270ml,"4.4
(684)","https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-40,dpr-2/cms/product_variant/aac526b8-fe5a-40a3-ab90-550d774811d3.jpeg",Yes
dairy bread eggs > milk based drinks,dairy bread eggs,milk based drinks,Amul Probiotic Tadka Chaas Combo,?60,6X280ml,"4.4
(833)","https://cdn.zeptonow.com/production/tr:w-403,ar-1500-1500,pr-true,f-auto,q-40,dpr-2/cms/product_variant/405a8e1c-bbbf-4589-ab25-78f035b10a73.jpg",Yes
